qkey,category,unit,description,claimed_value_tex,tex_lines,reproducibility
null_z_headline_k_range,deterministic,K range,"K range over which the headline Z>3,700 holds (4-6).",4–6,91;498,derived
null_support_pct,method-parameter,%,"Support threshold used for the permutation null model (0.001%, the 'Power' threshold).",0.001 / Power threshold (0.001%),91;362;367;393;498,setup
ext_prior_domain_cooccurrence_kmax,external-fact,K,"Prior domain co-occurrence studies (Wang 2011, Terrapon/Coin 2009) are pairwise, K=2.",2 (pairwise) / 2 / 2 (pairs),101;454;456,external
misc_example_triple_k,external-fact,features,"Illustrative 3-feature combination in the Introduction: {PF00270, GO:0003724, GO:0045087}.",3,103,external
misc_example_triple_support,external-fact,proteins,"Hypothetical 'thousands' of proteins for the illustrative triple; checkable against the mined support of {PF00270, GO:0003724, GO:0045087} (all three are members of the K=22 itemset).",thousands,103,rerun
ext_prior_gpu_fim_speedup_range,external-fact,x,Speedups reported by prior GPU FIM systems over CPU algorithms such as Eclat (50-350x).,50–350×,105,external
ext_prior_gpu_fim_max_transactions,external-fact,transactions,Largest datasets prior GPU FIM implementations were evaluated on ('a few million').,a few million,105;408,external
ext_prior_gpu_fim_scale_gap_orders,external-fact,orders of magnitude,Claimed gap between prior GPU FIM datasets and this dataset: log10(dataset_multi_feature / ext_prior_gpu_fim_max_transactions) ('three').,3,105;408,derived
dataset_plddt_pass,deterministic,proteins,"Proteins processed from UniProt TrEMBL that entered the pipeline (205,620,298; '205.6 million'/'205.6M' are rounded variants).","205.6 million / 205,620,298 / 205.6M",105;129;152;167;171,rerun
alg_dense_bytes_per_bool,method-parameter,bytes,Bytes per boolean entry assumed for the dense representation (1).,1,105;167,setup
ext_highend_gpu_vram_gb,external-fact,GB,Claimed capacity of the highest-end GPUs (80 GB).,80,105,external
misc_concept_figure_k,deterministic,K,"Schematic K=4 pattern in fig:concept (illustration, not a result).",4,114,external
misc_concept_figure_support,deterministic,proteins,"Schematic pattern shared by 3 proteins in fig:concept (illustration, not a result).",3,114,external
csr_bytes_gb,deterministic,GB,Coordinate-format size of the mining-subset matrix = csr_nnz x alg_coo_bytes_per_entry (16 B) (~5.1 GB).,~5.1 / 5.1,120;167;402,derived
dataset_uniprot_release,software,release id,UniProt (TrEMBL) release from which annotations were taken.,2025_01,129;478;529,setup
dataset_access_date,software,date,Date the UniProt cross-reference data were accessed.,February 2026,129,setup
vocab_pfam_defined,method-parameter,items,Number of most-frequent Pfam domains admitted to the vocabulary.,500,129;134;142,setup
vocab_go_defined,method-parameter,items,Number of most-frequent GO terms admitted to the vocabulary.,500,129;134;143,setup
dataset_pfam_families_observed,deterministic,families,Distinct Pfam families observed across the corpus before truncation to the 500 most frequent.,"24,291",129,rerun
dataset_go_families_observed,deterministic,families,Distinct GO terms observed across the corpus before truncation to the 500 most frequent.,"25,993",129,rerun
vocab_plddt_defined,method-parameter,items,Number of pLDDT confidence bins defined.,6,129;134;144,setup
vocab_items_defined,deterministic,items,"Defined vocabulary size = vocab_pfam_defined + vocab_go_defined + vocab_plddt_defined (1,006).","1,006",129;134;146,derived
run_opus_min_count,method-parameter,proteins,Minimum protein count of the Opus run (the actual threshold; support % is nominal).,8,129;134;216;230;393,setup
dataset_annotation_gb,deterministic,GB,Size of the compressed annotation input consumed by feature extraction.,150,129,setup
extract_time_min,hardware-dependent,min,Wall-clock time of the one-time feature-extraction/preprocessing step.,63,129;496,hardware
vocab_pfam_go_frequent,deterministic,items,"vocab_pfam_frequent + vocab_go_frequent (1,000).","1,000",134,derived
vocab_plddt_frequent,deterministic,items,pLDDT bins that pass the support threshold.,2,134;144,rerun
vocab_pfam_frequent,deterministic,items,Pfam vocabulary items that pass the support threshold.,500,142,rerun
vocab_go_frequent,deterministic,items,GO vocabulary items that pass the support threshold.,500,143,rerun
dataset_multi_feature_pct,deterministic,%,100 x dataset_multi_feature / dataset_plddt_pass (37.4).,37.4,152,derived
alg_transaction_min_features,method-parameter,features,Transaction inclusion filter: proteins must carry more than one vocabulary feature ('>1' kept / '1' excluded are the same rule).,>1 / 1,152;480,setup
sw_execution_paths,software,paths,Number of execution paths implemented (3: CPU; GPU direct CSR; GPU-accelerated resident).,3,156,setup
sw_execution_path_used,software,path,"Execution path used for all reported results (path 3, GPU-accelerated).",path (3) GPU-accelerated,156,setup
csr_nnz,deterministic,entries,"Non-zero (protein, feature) entries of the sparse matrix of the 76.9M mining subset (316 million).",316 million,167,rerun
alg_coo_bytes_per_entry,method-parameter,bytes,"Bytes per non-zero entry in the coordinate format used for the 5.1 GB figure (two 64-bit integers = 16 B). Cf. mem_csr_bytes_per_entry = 8 for the CSR memory model (different representation, not a conflict).",2 × 64-bit integers (16 B),167,setup
csr_vs_dense_subset_ratio,deterministic,x,dense_subset_gb / csr_bytes_gb (~15x).,~15×,167;402,derived
dense_subset_gb,deterministic,GB,One-byte-per-boolean dense matrix of the 76.9M mining subset (~77 GB).,~77,167,derived
csr_vs_dense_full_ratio,deterministic,x,dense_gb / csr_bytes_gb (~40x).,~40×,167,derived
bitvec_gb,deterministic,GB,"GPU-resident bit-packed bitvector matrix of the full processed set (205.6M x 1,002 bits / 8 ~ 26 GB). Cf. mem_dense_214m_gb (27 GB, computed for 214M proteins) - different N, not a conflict.",~26 / 26,167;171;402;769,derived
csr_h2d_transfer_gb,deterministic,GB,Size of the single host-to-device transfer of CSR column indices from which bitvectors are built on-GPU (~3 GB); the tab:gpu-pipeline 'Database encoding: Once (~3 GB)' cell is keyed here.,"~3 / ~3 GB, once",171;440;859,derived
pipe_h2d_transfer_count,deterministic,transfers,Bitvectors/CSR are loaded to the GPU once (1 host-to-device transfer; 'once').,1 / once,171;196;440,setup
alg_pcie_reduction_vs_conventional,deterministic,qualitative,Per-level PCIe traffic relative to conventional GPU FIM that ships candidate sets and support arrays each iteration ('orders of magnitude less').,orders of magnitude less,193,derived
hw_gpu_count,hardware-dependent,GPUs,Number of GPUs used for all reported experiments (1).,1,196;213;402,setup
alg_bits_per_word,deterministic,proteins per word,"Proteins processed per bitvector word / operation (64; the ceil(N/64) complexity terms of Appendix A, whose claim row spans tex lines 746-751).",64,200;743;746-751;797,setup
alg_bitvec_speedup_factor,deterministic,x,Constant-factor speedup of word-level AND+popcount over element-wise comparison = alg_bits_per_word (64x).,64×,201;743;753,derived
hw_gpu_vram_gb,hardware-dependent,GB,GPU memory of the H100 used (80).,80,213;216,setup
hw_host_ram_gb,hardware-dependent,GB,Host RAM of the experiment machine (128).,128,213,setup
sw_python,software,version,Python version.,3.10,213,setup
sw_cupy,software,version,CuPy version.,13.0,213,setup
sw_numpy,software,version,NumPy version.,1.26,213,setup
sw_cuda,software,version,CUDA version.,12.4,213,setup
sw_os,software,version,Operating system (Ubuntu) version.,22.04,213,setup
campaign_n_runs,method-parameter,runs,Number of mining runs / support thresholds in the campaign (6).,6,213;216;243,setup
campaign_support_span_orders,method-parameter,orders of magnitude,log10(run_base_support_pct / run_opus_support_pct) (4).,4,213,derived
run_ultra_min_count,method-parameter,proteins,Minimum protein count of the Ultra run (the actual threshold; support % is nominal).,16,216;229,setup
run_base_support_pct,method-parameter,%,Support threshold of the Base run (the parameter set for the run).,0.1,224,setup
run_base_min_count,method-parameter,proteins,Minimum protein count of the Base run = ceil(support x dataset_multi_feature).,"76,891",224,derived
run_base_itemsets,deterministic,itemsets,Frequent itemsets found by the Base run.,"5,305",224,rerun
run_base_kmax,deterministic,K,Maximum itemset length reached by the Base run.,9,224,rerun
run_base_time_min,hardware-dependent,min,Wall-clock mining time of the Base run in minutes.,1.9,224,hardware
run_base_method,method-parameter,method,Execution method of the Base run (Streaming SON or Direct CSR->GPU).,Streaming SON,224,setup
run_super_support_pct,method-parameter,%,Support threshold of the Super run (the parameter set for the run).,0.01,225,setup
run_super_min_count,method-parameter,proteins,Minimum protein count of the Super run = ceil(support x dataset_multi_feature).,"7,689",225,derived
run_super_itemsets,deterministic,itemsets,Frequent itemsets found by the Super run.,"51,124",225,rerun
run_super_kmax,deterministic,K,Maximum itemset length reached by the Super run.,13,225,rerun
run_super_time_min,hardware-dependent,min,Wall-clock mining time of the Super run in minutes.,4.3,225,hardware
run_super_method,method-parameter,method,Execution method of the Super run (Streaming SON or Direct CSR->GPU).,Streaming SON,225,setup
run_power_support_pct,method-parameter,%,Support threshold of the Power run (the parameter set for the run).,0.001,226;235;238;243;404,setup
run_power_min_count,method-parameter,proteins,"Minimum protein count of the Power run = ceil(support x dataset_multi_feature). NOTE: 768 here vs min_count=769 for the same 0.001% threshold in the null-model section (null_min_count); ceil(1e-5 x 76,890,945) = 769.",768,226,derived
run_power_itemsets,deterministic,itemsets,"Frequent itemsets found by the Power run (Streaming SON, i.e. lossy; the exhaustive count at this threshold is run_power_direct_itemsets).","22,846",226,rerun
run_power_kmax,deterministic,K,Maximum itemset length reached by the Power run (SON; the exhaustive Direct run at this threshold reaches run_power_direct_kmax = 14).,13,226,rerun
run_power_time_min,hardware-dependent,min,"Wall-clock mining time of the Power run in minutes. Same run as run_power_son_time_s (1,085.6 s).",18.1,226,hardware
run_power_method,method-parameter,method,Execution method of the Power run (Streaming SON or Direct CSR->GPU).,Streaming SON,226,setup
run_blitz_support_pct,method-parameter,%,Support threshold of the Blitz run (the parameter set for the run).,0.0001,228;235;243,setup
run_blitz_min_count,method-parameter,proteins,Minimum protein count of the Blitz run = ceil(support x dataset_multi_feature).,77,228,derived
run_blitz_itemsets,deterministic,itemsets,Frequent itemsets found by the Blitz run.,"2,841,280",228,rerun
run_blitz_kmax,deterministic,K,Maximum itemset length reached by the Blitz run.,19,228,rerun
run_blitz_time_min,hardware-dependent,min,Wall-clock mining time of the Blitz run in minutes.,2.0,228,hardware
run_blitz_method,method-parameter,method,Execution method of the Blitz run (Streaming SON or Direct CSR->GPU).,Direct CSR→GPU,228,setup
run_blitz_vs_power_speedup,hardware-dependent,x,run_power_time_min / run_blitz_time_min (9x; varies method AND threshold).,9×,228;238;243,hardware
run_blitz_vs_power_itemset_ratio,deterministic,x,run_blitz_itemsets / run_power_itemsets (124x).,124×,228;238,derived
run_ultra_support_pct,method-parameter,%,Support threshold of the Ultra run (nominal/rounded: 100 x min_count / dataset_multi_feature; the min_count is the actual parameter).,0.00002,229,derived
run_ultra_itemsets,deterministic,itemsets,Frequent itemsets found by the Ultra run.,"14,558,875",229,rerun
run_ultra_kmax,deterministic,K,Maximum itemset length reached by the Ultra run.,20,229,rerun
run_ultra_time_min,hardware-dependent,min,Wall-clock mining time of the Ultra run in minutes.,4.7,229,hardware
run_ultra_method,method-parameter,method,Execution method of the Ultra run (Streaming SON or Direct CSR->GPU).,Direct CSR→GPU,229,setup
run_opus_support_pct,method-parameter,%,Support threshold of the Opus run (nominal/rounded: 100 x min_count / dataset_multi_feature; the min_count is the actual parameter).,0.00001,230;254;259,derived
run_opus_method,method-parameter,method,Execution method of the Opus run (Streaming SON or Direct CSR->GPU).,Direct CSR→GPU,230,setup
son_speedup,hardware-dependent,x,Controlled same-support speedup = run_power_son_time_s / run_power_direct_time_s (21x).,21×,235;238;243;404,hardware
run_blitz_vs_power_support_ratio,method-parameter,x,run_power_support_pct / run_blitz_support_pct (10x).,10×,238;243,derived
run_power_direct_itemsets,deterministic,itemsets,"Exhaustive Direct CSR->GPU run at 0.001% support (min_count 769): frequent itemsets (475,865; equals the sum of the tab:null-model Bio column).","475,865",238;393;404,rerun
run_power_direct_time_s,hardware-dependent,s,Wall-clock time of the exhaustive Direct CSR->GPU run at 0.001% (50.7 s).,50.7,238;404,hardware
run_power_son_itemsets,deterministic,itemsets,"Streaming-SON itemsets at 0.001% as quoted in the Direct-vs-SON comparison (22,846). ALIAS of run_power_itemsets (same run; tab:campaign Power row) - fill both from one SON re-run.","22,846",238;404,rerun
run_power_son_time_s,hardware-dependent,s,"Streaming-SON wall-clock at 0.001% in seconds (1,085.6 s). ALIAS of run_power_time_min x 60 (18.1 min).","1,085.6",238;404,hardware
son_miss_rate_pct,deterministic,%,100 x (1 - run_power_son_itemsets / run_power_direct_itemsets) (95.2).,95.2,238;404,derived
son_k2_recovery,deterministic,fraction (qualitative),Share of the exhaustive K=2 itemsets at 0.001% that SON recovers (paper: 'most').,most,238,derived
kdist_opus_peak_k,deterministic,K,argmax over K of the Opus K-distribution (9).,9,249;254;462,derived
kdist_opus_peak_count,deterministic,itemsets,"Itemset count at the peak K (3,529,257; '3.53M'/'3.53 million' are rounded variants). Coincides with kdist_opus_k9_count while the peak is at K=9.","3,529,257 / 3.53M / 3.53 million",249;254;462,derived
kdist_opus_peak_pct,deterministic,%,Share of all Opus itemsets at the peak K (13.14). Coincides with kdist_opus_k9_pct while the peak is at K=9.,13.14,249;462,derived
null_kmax,deterministic,K,Deepest K produced by any null permutation (6). Statements 'no null run reached K>=7 / cannot produce patterns beyond K=6' are keyed here (claim value expressed as the complementary bound '>=7').,6 / >=7,249;367;391;462;498,rerun
kdist_opus_k22_count,deterministic,itemsets,Frequent itemsets of length K=22 in the Opus run (tab:kdist). The single deepest itemset ('a single itemset at maximum depth').,1,254;278;286,rerun
k22_support,deterministic,proteins,Support (number of proteins) of the single K=22 itemset (exactly 8).,8,254;286;289;333;335,rerun
kdist_opus_k1_count,deterministic,itemsets,Frequent itemsets of length K=1 in the Opus run (tab:kdist). Equals vocab_items_frequent.,"1,002",268,rerun
kdist_opus_k1_pct,deterministic,%,100 x kdist_opus_k1_count / run_opus_itemsets.,0.00,268,derived
kdist_opus_k12_count,deterministic,itemsets,Frequent itemsets of length K=12 in the Opus run (tab:kdist).,"1,996,772",268,rerun
kdist_opus_k12_pct,deterministic,%,100 x kdist_opus_k12_count / run_opus_itemsets.,7.44,268,derived
kdist_opus_k2_count,deterministic,itemsets,Frequent itemsets of length K=2 in the Opus run (tab:kdist).,"73,786",269,rerun
kdist_opus_k2_pct,deterministic,%,100 x kdist_opus_k2_count / run_opus_itemsets.,0.27,269,derived
kdist_opus_k13_count,deterministic,itemsets,Frequent itemsets of length K=13 in the Opus run (tab:kdist).,"1,259,045",269,rerun
kdist_opus_k13_pct,deterministic,%,100 x kdist_opus_k13_count / run_opus_itemsets.,4.69,269,derived
kdist_opus_k3_count,deterministic,itemsets,Frequent itemsets of length K=3 in the Opus run (tab:kdist).,"452,777",270,rerun
kdist_opus_k3_pct,deterministic,%,100 x kdist_opus_k3_count / run_opus_itemsets.,1.69,270,derived
kdist_opus_k14_count,deterministic,itemsets,Frequent itemsets of length K=14 in the Opus run (tab:kdist).,"679,471",270,rerun
kdist_opus_k14_pct,deterministic,%,100 x kdist_opus_k14_count / run_opus_itemsets.,2.53,270,derived
kdist_opus_k4_count,deterministic,itemsets,Frequent itemsets of length K=4 in the Opus run (tab:kdist).,"1,184,461",271,rerun
kdist_opus_k4_pct,deterministic,%,100 x kdist_opus_k4_count / run_opus_itemsets.,4.41,271,derived
kdist_opus_k15_count,deterministic,itemsets,Frequent itemsets of length K=15 in the Opus run (tab:kdist).,"310,527",271,rerun
kdist_opus_k15_pct,deterministic,%,100 x kdist_opus_k15_count / run_opus_itemsets.,1.16,271,derived
kdist_opus_k5_count,deterministic,itemsets,Frequent itemsets of length K=5 in the Opus run (tab:kdist).,"1,974,126",272,rerun
kdist_opus_k5_pct,deterministic,%,100 x kdist_opus_k5_count / run_opus_itemsets.,7.35,272,derived
kdist_opus_k16_count,deterministic,itemsets,Frequent itemsets of length K=16 in the Opus run (tab:kdist).,"118,659",272,rerun
kdist_opus_k16_pct,deterministic,%,100 x kdist_opus_k16_count / run_opus_itemsets.,0.44,272,derived
kdist_opus_k6_count,deterministic,itemsets,Frequent itemsets of length K=6 in the Opus run (tab:kdist).,"2,626,332",273,rerun
kdist_opus_k6_pct,deterministic,%,100 x kdist_opus_k6_count / run_opus_itemsets.,9.78,273,derived
kdist_opus_k17_count,deterministic,itemsets,Frequent itemsets of length K=17 in the Opus run (tab:kdist).,"37,261",273,rerun
kdist_opus_k17_pct,deterministic,%,100 x kdist_opus_k17_count / run_opus_itemsets.,0.14,273,derived
kdist_opus_k7_count,deterministic,itemsets,Frequent itemsets of length K=7 in the Opus run (tab:kdist).,"3,118,459",274,rerun
kdist_opus_k7_pct,deterministic,%,100 x kdist_opus_k7_count / run_opus_itemsets.,11.61,274,derived
kdist_opus_k18_count,deterministic,itemsets,Frequent itemsets of length K=18 in the Opus run (tab:kdist).,"9,375",274,rerun
kdist_opus_k18_pct,deterministic,%,100 x kdist_opus_k18_count / run_opus_itemsets.,0.03,274,derived
kdist_opus_k8_count,deterministic,itemsets,Frequent itemsets of length K=8 in the Opus run (tab:kdist).,"3,442,954",275,rerun
kdist_opus_k8_pct,deterministic,%,100 x kdist_opus_k8_count / run_opus_itemsets.,12.82,275,derived
kdist_opus_k19_count,deterministic,itemsets,Frequent itemsets of length K=19 in the Opus run (tab:kdist).,"1,818",275,rerun
kdist_opus_k19_pct,deterministic,%,100 x kdist_opus_k19_count / run_opus_itemsets.,0.01,275,derived
kdist_opus_k9_count,deterministic,itemsets,Frequent itemsets of length K=9 in the Opus run (tab:kdist).,"3,529,257",276,rerun
kdist_opus_k9_pct,deterministic,%,100 x kdist_opus_k9_count / run_opus_itemsets.,13.14,276,derived
kdist_opus_k20_count,deterministic,itemsets,Frequent itemsets of length K=20 in the Opus run (tab:kdist).,255,276,rerun
kdist_opus_k20_pct,deterministic,%,100 x kdist_opus_k20_count / run_opus_itemsets.,<0.01,276,derived
kdist_opus_k10_count,deterministic,itemsets,Frequent itemsets of length K=10 in the Opus run (tab:kdist).,"3,293,612",277,rerun
kdist_opus_k10_pct,deterministic,%,100 x kdist_opus_k10_count / run_opus_itemsets.,12.27,277,derived
kdist_opus_k21_count,deterministic,itemsets,Frequent itemsets of length K=21 in the Opus run (tab:kdist).,23,277,rerun
kdist_opus_k21_pct,deterministic,%,100 x kdist_opus_k21_count / run_opus_itemsets.,<0.01,277,derived
kdist_opus_k11_count,deterministic,itemsets,Frequent itemsets of length K=11 in the Opus run (tab:kdist).,"2,739,532",278,rerun
kdist_opus_k11_pct,deterministic,%,100 x kdist_opus_k11_count / run_opus_itemsets.,10.20,278,derived
kdist_opus_k22_pct,deterministic,%,100 x kdist_opus_k22_count / run_opus_itemsets.,<0.01,278,derived
k22_n_features,deterministic,features,Number of features in the K=22 itemset (22; identical to run_opus_kmax by definition).,22,286;289;333;460,rerun
k22_n_pfam,deterministic,features,Pfam members of the K=22 itemset (2).,2,297,derived
k22_feature_1,deterministic,feature id,Member 1 of 22 of the K=22 itemset in tab:k22 order (PF00270).,PF00270,298,rerun
k22_feature_2,deterministic,feature id,Member 2 of 22 of the K=22 itemset in tab:k22 order (PF00271).,PF00271,299,rerun
k22_n_go_mf,deterministic,features,GO Molecular Function members of the K=22 itemset (8).,8,301,derived
k22_feature_3,deterministic,feature id,Member 3 of 22 of the K=22 itemset in tab:k22 order (GO:0005524).,GO:0005524,302,rerun
k22_feature_4,deterministic,feature id,Member 4 of 22 of the K=22 itemset in tab:k22 order (GO:0016787).,GO:0016787,303,rerun
k22_feature_5,deterministic,feature id,Member 5 of 22 of the K=22 itemset in tab:k22 order (GO:0000287).,GO:0000287,304,rerun
k22_feature_6,deterministic,feature id,Member 6 of 22 of the K=22 itemset in tab:k22 order (GO:0003697).,GO:0003697,305,rerun
k22_feature_7,deterministic,feature id,Member 7 of 22 of the K=22 itemset in tab:k22 order (GO:0003724).,GO:0003724,306,rerun
k22_feature_8,deterministic,feature id,Member 8 of 22 of the K=22 itemset in tab:k22 order (GO:0003725).,GO:0003725,307,rerun
k22_feature_9,deterministic,feature id,Member 9 of 22 of the K=22 itemset in tab:k22 order (GO:0003678).,GO:0003678,308,rerun
k22_feature_10,deterministic,feature id,Member 10 of 22 of the K=22 itemset in tab:k22 order (GO:0000978).,GO:0000978,309,rerun
k22_n_go_bp,deterministic,features,GO Biological Process members of the K=22 itemset (4).,4,311,derived
k22_feature_11,deterministic,feature id,Member 11 of 22 of the K=22 itemset in tab:k22 order (GO:0030154).,GO:0030154,312,rerun
k22_feature_12,deterministic,feature id,Member 12 of 22 of the K=22 itemset in tab:k22 order (GO:0045087).,GO:0045087,313,rerun
k22_feature_13,deterministic,feature id,Member 13 of 22 of the K=22 itemset in tab:k22 order (GO:0051607).,GO:0051607,314,rerun
k22_feature_14,deterministic,feature id,Member 14 of 22 of the K=22 itemset in tab:k22 order (GO:0034605).,GO:0034605,315,rerun
k22_n_go_cc,deterministic,features,GO Cellular Component members of the K=22 itemset (7).,7,317,derived
k22_feature_15,deterministic,feature id,Member 15 of 22 of the K=22 itemset in tab:k22 order (GO:0005737).,GO:0005737,318,rerun
k22_feature_16,deterministic,feature id,Member 16 of 22 of the K=22 itemset in tab:k22 order (GO:0005829).,GO:0005829,319,rerun
k22_feature_17,deterministic,feature id,Member 17 of 22 of the K=22 itemset in tab:k22 order (GO:0005634).,GO:0005634,320,rerun
k22_feature_18,deterministic,feature id,Member 18 of 22 of the K=22 itemset in tab:k22 order (GO:0005739).,GO:0005739,321,rerun
k22_feature_19,deterministic,feature id,Member 19 of 22 of the K=22 itemset in tab:k22 order (GO:0030424).,GO:0030424,322,rerun
k22_feature_20,deterministic,feature id,Member 20 of 22 of the K=22 itemset in tab:k22 order (GO:0030425).,GO:0030425,323,rerun
k22_feature_21,deterministic,feature id,Member 21 of 22 of the K=22 itemset in tab:k22 order (GO:0016607).,GO:0016607,324,rerun
k22_n_plddt,deterministic,features,pLDDT-bin members of the K=22 itemset (1).,1,326,derived
k22_feature_22,deterministic,feature id,Member 22 of 22 of the K=22 itemset in tab:k22 order (plddt_mean=Medium confidence (70-90)).,plddt_mean = Medium confidence,327,rerun
vocab_plddt_bin_medium_edges,method-parameter,pLDDT,Edges of the 'Medium confidence' pLDDT bin (70-90); the only bin edges stated anywhere in the paper.,70–90,327,setup
k22_go_parent_child_pairs,deterministic,pairs,GO parent-child (true-path) pairs among the 22 features (0; needs the GO ontology).,0 (none) / 0,333;476,derived
k22_definitional_links,deterministic,links,Members auto-derivable from another member via InterPro2GO (1: GO:0005524 from PF00270; needs the InterPro2GO mapping).,1,333,derived
k22_independent_features,deterministic,features,k22_n_features - k22_definitional_links (21).,21,333,derived
k22_proteins_features_each,deterministic,features,Vocabulary features carried by each of the 8 supporting proteins (exactly 22 each).,22,335,rerun
k22_impossible_k,deterministic,K,K=23 claimed impossible at any threshold because dataset_max_features_per_protein = 22 (value = that maximum + 1).,23,335,derived
dataset_max_features_per_protein,deterministic,features,"Maximum number of vocabulary features carried by any protein (= max transaction length; claimed 22, the basis of the 'K=23 impossible' argument).",22,335,rerun
pattern_n_highlighted,method-parameter,patterns,Number of intermediate-K patterns highlighted in the Results (5).,5,339;464,setup
pattern_k19_k,deterministic,K,Length of the 'RNA Spliceosome Processing Hub' pattern (19); also the top of the highlighted K=11..19 range. No member list is given.,19,341;464,rerun
pattern_k19_support,deterministic,proteins,Supporting proteins of the K=19 pattern (187; the only highlighted count given without a tilde).,187,341,rerun
pattern_k17_k,deterministic,K,Length of the 'Receptor Tyrosine Kinase Signaling Hub' pattern (17; also '17-feature combination').,17,343;348,rerun
pattern_k17_support,deterministic,proteins,Supporting proteins of the K=17 pattern (~611; order-of-magnitude estimate per footnote l.353).,~611,344,rerun
pattern_k17_member_1,deterministic,feature id,Named member of the K=17 pattern: PF07714 (protein tyrosine kinase).,PF07714,344,rerun
pattern_k17_member_2,deterministic,feature id,Named member of the K=17 pattern: PF00017 (SH2).,PF00017,344,rerun
pattern_k17_member_3,deterministic,feature id,Named member of the K=17 pattern: PF00018 (SH3).,PF00018,345,rerun
pattern_k13_k,deterministic,K,Length of the 'Helicase-Recombinase DNA Repair Module' pattern (13). No member ids given.,13,353,rerun
pattern_k13_support,deterministic,proteins,"Supporting proteins of the K=13 pattern (~11,000; order-of-magnitude estimate).","~11,000",353,rerun
pattern_support_precision,deterministic,qualitative,Stated precision of the highlighted-pattern supports ('order-of-magnitude estimates read from the decoded-pattern summaries').,order-of-magnitude estimate,353,setup
pattern_k12_k,deterministic,K,Length of the 'Bacterial Cell Wall Synthase' pattern (12).,12,355;464,rerun
pattern_k12_support,deterministic,proteins,"Supporting proteins of the K=12 pattern (~10,500; order-of-magnitude estimate).","~10,500",355,rerun
pattern_k12_member_1,deterministic,feature id,Named member of the K=12 pattern: PF00905 (transpeptidase).,PF00905,355,rerun
pattern_k12_member_2,deterministic,feature id,Named member of the K=12 pattern: PF00912 (transglycosylase).,PF00912,355,rerun
pattern_k11_k,deterministic,K,Length of the 'AAA+ ATPase Proteasome Complex' pattern (11); also the bottom of the highlighted K=11..19 range. No member ids given.,11,357;464,rerun
pattern_k11_support,deterministic,proteins,"Supporting proteins of the K=11 pattern (~16,000; order-of-magnitude estimate).","~16,000",357,rerun
null_min_count,method-parameter,proteins,min_count at the null-model threshold = ceil(0.00001 x dataset_multi_feature) = 769. NOTE: the tab:campaign Power row gives 768 for the same 0.001% threshold (run_power_min_count).,769,362;393,derived
null_permutations,method-parameter,permutations,Number of Fisher-Yates feature-column permutations (5).,5,362;367;388;391;393;462;498,setup
null_seed,method-parameter,seed,Random seed of the permutations (42).,42,362,setup
null_total_time_s,hardware-dependent,s,Total runtime of the 5 null-model permutations (662 s).,662,362,hardware
null_peak_k,deterministic,K,argmax of the pooled null K-distribution (3).,3,364,derived
null_peak_pct,deterministic,%,"Share of null itemsets at the null peak K (46.2; 79,134 / 171,320 pooled null mean total).",46.2,364,derived
null_k6_max,deterministic,itemsets,"Maximum over permutations of null itemsets at K=6 ('at most 23'; mean 22, std 1.1).",23,364,rerun
