claim_id,qkey,value,unit,category,stance,file,line,quoted_context
R1-056,csr_bytes_gb,5.1,GB (CSR),deterministic,asserts-own,F1,38,"""ties the 316,421,093 non-zeros / 5.1 GB CSR to the 76,890,945-transaction subset"""
R1-057,dataset_multi_feature,"76,890,945",transactions (subset),deterministic,asserts-own,F1,38,"""ties the 316,421,093 non-zeros / 5.1 GB CSR to the 76,890,945-transaction subset"""
R1-058,dense_gb,206,GB dense (full set),deterministic,asserts-own,F1,38,"""the 206 GB dense figure is for the 205.6M full set"""
R1-059,dataset_plddt_pass,205.6M,proteins (full set),deterministic,asserts-own,F1,38,"""the 206 GB dense figure is for the 205.6M full set"""
R1-060,dataset_plddt_pass,"205,620,298",transactions,deterministic,asserts-own,F1,38,"""205,620,298 x 1002 x 1 B = 206 GB"""
R1-061,vocab_items_frequent,1002,items (dense columns),deterministic,asserts-own,F1,38,"""205,620,298 x 1002 x 1 B = 206 GB"""
R1-062,alg_dense_bytes_per_bool,1,byte per dense entry,method-parameter,asserts-own,F1,38,"""205,620,298 x 1002 x 1 B = 206 GB"""
R1-063,dense_gb,206,GB (computed),deterministic,asserts-own,F1,38,"""205,620,298 x 1002 x 1 B = 206 GB"""
R1-064,dataset_multi_feature,76.9M,transactions (subset),deterministic,asserts-own,F1,38,"""Within the 76.9M subset: dense = 76.9M x 1002 x 1 B = 77 GB"""
R1-065,dense_subset_gb,77,GB dense (subset),deterministic,asserts-own,F1,38,"""dense = 76.9M x 1002 x 1 B = 77 GB"""
R1-066,csr_bytes_gb,5.06,GB (CSR),deterministic,asserts-own,F1,38,"""so 77/5.06 = ~15x, not 40x"""
R1-067,csr_vs_dense_subset_ratio,~15x,reduction (same subset),deterministic,asserts-own,F1,38,"""so 77/5.06 = ~15x, not 40x"""
R1-068,csr_vs_dense_full_ratio,40x,reduction,deterministic,disputes,F1,38,"""so 77/5.06 = ~15x, not 40x"""
R1-069,csr_vs_dense_full_ratio,40x,reduction,deterministic,disputes,F1,39,"""The 40x figure is manufactured by pairing a smaller-dataset CSR against a larger-dataset dense"""
R1-070,mem_ratio_214m,1.4x,"reduction (bit-packed, appendix)",deterministic,quotes-paper,F1,39,"""already reports the honest same-dataset ratio (1.4x bit-packed, 7.8x at 0.01% density)"""
R1-071,mem_ratio_0p01pct,7.8x,"reduction (at 0.01% density, appendix)",deterministic,quotes-paper,F1,39,"""already reports the honest same-dataset ratio (1.4x bit-packed, 7.8x at 0.01% density)"""
R1-072,mem_density_0p01pct,0.01%,density,deterministic,quotes-paper,F1,39,"""7.8x at 0.01% density"""
R1-073,csr_nnz,"316,421,093",nz,deterministic,asserts-own,F1,40,"""direct_mining.log (316,421,093 nz on 76,890,945 txns)"""
R1-074,dataset_multi_feature,"76,890,945",txns,deterministic,asserts-own,F1,40,"""direct_mining.log (316,421,093 nz on 76,890,945 txns)"""
R1-075,dataset_plddt_pass,"205,620,298",total transactions,deterministic,asserts-own,F1,40,"""beyond_mining.log (Total transactions 205,620,298)"""
R1-076,k22_support,8,K=22 accessions (heading),deterministic,quotes-paper,F1,42,"""D3 - 8 K=22 accessions 'recoverable' contradicts 'matrix not deposited'"""
R1-077,run_opus_kmax,22,K (heading),deterministic,quotes-paper,F1,42,"""D3 - 8 K=22 accessions 'recoverable' contradicts 'matrix not deposited'"""
R1-078,k22_support,8 (eight),matching proteins (K=22),deterministic,quotes-paper,F1,43,"""The eight matching proteins can be recovered by querying the source transaction data"""
R1-079,k22_support,8,IDs (K=22 proteins),deterministic,asserts-own,F1,45,"""The 8 IDs are neither listed in the paper nor regenerable from this repo"""
R1-080,null_p_bound_kge7,<0.45,p (heading),deterministic,disputes,F1,49,"""D4 - p<0.45 mis-attributed to the 'rule of three'"""
R1-081,null_p_bound_kge7,<0.45,p,deterministic,quotes-paper,F1,50,"""p < 0.45, the 95% one-sided upper bound for 0 of 5 by the rule of three"""
R1-082,null_p_bound_confidence_pct,95%,one-sided upper bound,method-parameter,quotes-paper,F1,50,"""the 95% one-sided upper bound for 0 of 5 by the rule of three"""
R1-083,null_perms_reaching_kge7,0 of 5,null runs reaching K>=7,deterministic,quotes-paper,F1,50,"""the 95% one-sided upper bound for 0 of 5 by the rule of three"""
R1-084,null_perms_reaching_kge7,0/5,null runs reaching K>=7,deterministic,asserts-own,F1,51,"""0/5 null runs reach K>=7 is confirmed"""
R1-085,null_kmax,>=7,K (deep-pattern cutoff),method-parameter,asserts-own,F1,51,"""0/5 null runs reach K>=7 is confirmed"""
R1-086,null_p_bound_kge7,1-0.05^(1/5)=0.4507,exact binomial 95% bound,deterministic,asserts-own,F1,51,"""The exact one-sided binomial 95% bound is 1-0.05^(1/5)=0.4507"""
R1-087,null_p_bound_confidence_pct,95%,confidence level,method-parameter,asserts-own,F1,51,"""The exact one-sided binomial 95% bound is 1-0.05^(1/5)=0.4507"""
R1-088,null_p_bound_rule_of_three,3/5=0.60,rule-of-three bound,deterministic,asserts-own,F1,51,"""The rule of three gives 3/n = 3/5 = 0.60, not 0.45"""
R1-089,null_p_bound_kge7,0.45,p bound (paper value contrasted with rule of three),deterministic,quotes-paper,F1,51,"""The rule of three gives 3/n = 3/5 = 0.60, not 0.45."""
R1-090,null_p_bound_kge7,0.45,p bound,deterministic,asserts-own,F1,52,"""The number (0.45) is correct and defensible as the exact binomial bound"""
R1-091,meta_review_f1_confirmed_dataset_vocab,7,confirmed dataset/vocabulary claims,external-fact,asserts-own,F1,61,"""Dataset & vocabulary (7):"""
R1-092,dataset_metadata_rows,214M,proteins,deterministic,quotes-paper,F1,62,"""214M proteins (line 129) = 214,683,829 rows read"""
R1-093,dataset_metadata_rows,"214,683,829",rows read,deterministic,asserts-own,F1,62,"""214M proteins (line 129) = 214,683,829 rows read - pipeline_214m.log:8,2061"""
R1-094,dataset_plddt_pass,"205,620,298",proteins processed,deterministic,quotes-paper,F1,63,"""205,620,298 processed (lines 129,152) = exact 'passed pLDDT filter' / 'Total transactions'"""
R1-095,dataset_annotation_gb,150,GB (input data),external-fact,quotes-paper,F1,64,"""150 GB in 63 min (line 129)"""
R1-096,extract_time_min,63,min (feature extraction),hardware-dependent,quotes-paper,F1,64,"""150 GB in 63 min (line 129)"""
R1-097,dataset_annotation_gb,150G,TrEMBL size (log),external-fact,asserts-own,F1,64,"""'TrEMBL: 150G'; af_extract 3777.0s = 62.95 min"""
R1-098,extract_time_s,3777.0,s (af_extract),hardware-dependent,asserts-own,F1,64,"""af_extract 3777.0s = 62.95 min"""
R1-099,extract_time_min,62.95,min (af_extract),hardware-dependent,asserts-own,F1,64,"""af_extract 3777.0s = 62.95 min"""
R1-100,run_opus_min_count,8,min-support,method-parameter,quotes-paper,F1,65,"""min-support 8 -> 1,002 frequent single items (Table 1 caption)"""
R1-101,vocab_items_frequent,"1,002",frequent single items,deterministic,quotes-paper,F1,65,"""min-support 8 -> 1,002 frequent single items (Table 1 caption)"""
R1-102,vocab_items_defined,"1,006",items,deterministic,quotes-paper,F1,66,"""1,006 items = 6 pLDDT + 500 Pfam + 500 GO (Table 1)"""
R1-103,vocab_plddt_defined,6,pLDDT items,method-parameter,quotes-paper,F1,66,"""1,006 items = 6 pLDDT + 500 Pfam + 500 GO (Table 1)"""
R1-104,vocab_pfam_defined,500,Pfam items,method-parameter,quotes-paper,F1,66,"""1,006 items = 6 pLDDT + 500 Pfam + 500 GO (Table 1)"""
R1-105,vocab_go_defined,500,GO items,method-parameter,quotes-paper,F1,66,"""1,006 items = 6 pLDDT + 500 Pfam + 500 GO (Table 1)"""
R1-106,vocab_items_frequent,"1,002",items passing min-support,deterministic,asserts-own,F1,67,"""1,002 pass (1,000 Pfam/GO + 2 pLDDT bins)"""
R1-107,vocab_pfam_go_frequent,"1,000",Pfam/GO items passing,deterministic,asserts-own,F1,67,"""1,002 pass (1,000 Pfam/GO + 2 pLDDT bins)"""
R1-108,vocab_plddt_frequent,2,pLDDT bins passing,deterministic,asserts-own,F1,67,"""1,002 pass (1,000 Pfam/GO + 2 pLDDT bins)"""
R1-109,vocab_plddt_frequent,2 (two),pLDDT labels in decoded patterns,deterministic,asserts-own,F1,67,"""corroborated by only two pLDDT labels in decoded_top_k_patterns.txt"""
R1-110,dataset_multi_feature,"76,890,945",multi-feature proteins,deterministic,quotes-paper,F1,68,"""76,890,945 (37.4%) multi-feature proteins (lines 91,120,152)"""
R1-111,dataset_multi_feature_pct,37.4%,fraction multi-feature,deterministic,quotes-paper,F1,68,"""76,890,945 (37.4%) multi-feature proteins (lines 91,120,152)"""
R1-112,meta_review_f1_confirmed_memory,6,confirmed memory claims,external-fact,asserts-own,F1,70,"""Memory (6):"""
R1-113,dense_gb,206,GB dense,deterministic,quotes-paper,F1,70,"""206 GB dense (line 105)"""
R1-114,csr_nnz,316M,nz,deterministic,quotes-paper,F1,70,"""316M nz / 5.1 GB coordinate (line 167)"""
R1-115,csr_bytes_gb,5.1,GB coordinate,deterministic,quotes-paper,F1,70,"""316M nz / 5.1 GB coordinate (line 167)"""
R1-116,bitvec_gb,~26,GB bit-packed,deterministic,quotes-paper,F1,70,"""~26 GB bit-packed (lines 167,171)"""
R1-117,csr_h2d_transfer_gb,~3,GB H2D transfer,deterministic,quotes-paper,F1,70,"""~3 GB H2D transfer (line 171)"""
R1-118,alg_pcie_bytes_total,~264,B (metadata over 22 K-levels),deterministic,quotes-paper,F1,70,"""~264 B over 22 K-levels (line 814)"""
R1-119,run_opus_kmax,22,K-levels,deterministic,quotes-paper,F1,70,"""~264 B over 22 K-levels (line 814)"""
R1-120,dataset_metadata_rows,214M,row label (appendix memory table),deterministic,quotes-paper,F1,70,"""appendix 214M row 27 GB/19 GB/1.4x (line 887)"""
R1-121,mem_dense_214m_gb,27,GB (appendix 214M row),deterministic,quotes-paper,F1,70,"""appendix 214M row 27 GB/19 GB/1.4x (line 887)"""
R1-122,mem_csr_214m_gb,19,GB (appendix 214M row),deterministic,quotes-paper,F1,70,"""appendix 214M row 27 GB/19 GB/1.4x (line 887)"""
R1-123,mem_ratio_214m,1.4x,ratio (appendix 214M row),deterministic,quotes-paper,F1,70,"""appendix 214M row 27 GB/19 GB/1.4x (line 887)"""
R1-124,meta_review_f1_campaign_rows_verified,6/6,campaign rows verified,external-fact,asserts-own,F1,72,"""Campaign table (6/6):"""
R1-125,run_base_support_pct,0.1%,support (Base),method-parameter,quotes-paper,F1,72,"""Base (0.1%/76,891/5,305/K9/1.9min/SON)"""
R1-126,run_base_min_count,"76,891",min_count (Base),method-parameter,quotes-paper,F1,72,"""Base (0.1%/76,891/5,305/K9/1.9min/SON)"""
R1-127,run_base_itemsets,"5,305",itemsets (Base),deterministic,quotes-paper,F1,72,"""Base (0.1%/76,891/5,305/K9/1.9min/SON)"""
R1-128,run_base_kmax,9,K max (Base),deterministic,quotes-paper,F1,72,"""Base (0.1%/76,891/5,305/K9/1.9min/SON)"""
R1-129,run_base_time_min,1.9,min (Base),hardware-dependent,quotes-paper,F1,72,"""Base (0.1%/76,891/5,305/K9/1.9min/SON)"""
R1-130,run_super_support_pct,0.01%,support (Super),method-parameter,quotes-paper,F1,72,"""Super (0.01%/7,689/51,124/K13/4.3min/SON)"""
R1-131,run_super_min_count,"7,689",min_count (Super),method-parameter,quotes-paper,F1,72,"""Super (0.01%/7,689/51,124/K13/4.3min/SON)"""
R1-132,run_super_itemsets,"51,124",itemsets (Super),deterministic,quotes-paper,F1,72,"""Super (0.01%/7,689/51,124/K13/4.3min/SON)"""
R1-133,run_super_kmax,13,K max (Super),deterministic,quotes-paper,F1,72,"""Super (0.01%/7,689/51,124/K13/4.3min/SON)"""
R1-134,run_super_time_min,4.3,min (Super),hardware-dependent,quotes-paper,F1,72,"""Super (0.01%/7,689/51,124/K13/4.3min/SON)"""
R1-135,run_power_support_pct,0.001%,support (Power),method-parameter,quotes-paper,F1,72,"""Power (0.001%/768/22,846/K13/18.1min/SON)"""
R1-136,run_power_min_count,768,min_count (Power),method-parameter,quotes-paper,F1,72,"""Power (0.001%/768/22,846/K13/18.1min/SON)"""
R1-137,run_power_itemsets,"22,846",itemsets (Power),deterministic,quotes-paper,F1,72,"""Power (0.001%/768/22,846/K13/18.1min/SON)"""
R1-138,run_power_kmax,13,K max (Power),deterministic,quotes-paper,F1,72,"""Power (0.001%/768/22,846/K13/18.1min/SON)"""
R1-139,run_power_time_min,18.1,min (Power),hardware-dependent,quotes-paper,F1,72,"""Power (0.001%/768/22,846/K13/18.1min/SON)"""
R1-140,run_blitz_support_pct,0.0001%,support (Blitz),method-parameter,quotes-paper,F1,72,"""Blitz (0.0001%/77/2,841,280/K19/2.0min/Direct)"""
R1-141,run_blitz_min_count,77,min_count (Blitz),method-parameter,quotes-paper,F1,72,"""Blitz (0.0001%/77/2,841,280/K19/2.0min/Direct)"""
R1-142,run_blitz_itemsets,"2,841,280",itemsets (Blitz),deterministic,quotes-paper,F1,72,"""Blitz (0.0001%/77/2,841,280/K19/2.0min/Direct)"""
R1-143,run_blitz_kmax,19,K max (Blitz),deterministic,quotes-paper,F1,72,"""Blitz (0.0001%/77/2,841,280/K19/2.0min/Direct)"""
R1-144,run_blitz_time_min,2.0,min (Blitz),hardware-dependent,quotes-paper,F1,72,"""Blitz (0.0001%/77/2,841,280/K19/2.0min/Direct)"""
R1-145,run_ultra_support_pct,0.00002%,support (Ultra),method-parameter,quotes-paper,F1,72,"""Ultra (0.00002%/16/14,558,875/K20/4.7min/Direct)"""
R1-146,run_ultra_min_count,16,min_count (Ultra),method-parameter,quotes-paper,F1,72,"""Ultra (0.00002%/16/14,558,875/K20/4.7min/Direct)"""
R1-147,run_ultra_itemsets,"14,558,875",itemsets (Ultra),deterministic,quotes-paper,F1,72,"""Ultra (0.00002%/16/14,558,875/K20/4.7min/Direct)"""
R1-148,run_ultra_kmax,20,K max (Ultra),deterministic,quotes-paper,F1,72,"""Ultra (0.00002%/16/14,558,875/K20/4.7min/Direct)"""
R1-149,run_ultra_time_min,4.7,min (Ultra),hardware-dependent,quotes-paper,F1,72,"""Ultra (0.00002%/16/14,558,875/K20/4.7min/Direct)"""
R1-150,run_opus_support_pct,0.00001%,support (Opus),method-parameter,quotes-paper,F1,72,"""Opus (0.00001%/8/26,849,505/K22/7.3min/Direct)"""
R1-151,run_opus_min_count,8,min_count (Opus),method-parameter,quotes-paper,F1,72,"""Opus (0.00001%/8/26,849,505/K22/7.3min/Direct)"""
R1-152,run_opus_itemsets,"26,849,505",itemsets (Opus),deterministic,quotes-paper,F1,72,"""Opus (0.00001%/8/26,849,505/K22/7.3min/Direct)"""
R1-153,run_opus_kmax,22,K max (Opus),deterministic,quotes-paper,F1,72,"""Opus (0.00001%/8/26,849,505/K22/7.3min/Direct)"""
R1-154,run_opus_time_min,7.3,min (Opus),hardware-dependent,quotes-paper,F1,72,"""Opus (0.00001%/8/26,849,505/K22/7.3min/Direct)"""
R1-155,meta_review_f1_kdist_checks,8/8,K-distribution checks passed,external-fact,asserts-own,F1,74,"""K-distribution (8/8):"""
R1-156,run_opus_itemsets,"26,849,505",total itemsets,deterministic,quotes-paper,F1,74,"""total 26,849,505; peak K=9 = 3,529,257 (13.14%)"""
R1-157,kdist_opus_peak_k,9,K (distribution peak),deterministic,quotes-paper,F1,74,"""peak K=9 = 3,529,257 (13.14%)"""
R1-158,kdist_opus_peak_count,"3,529,257",itemsets at K=9,deterministic,quotes-paper,F1,74,"""peak K=9 = 3,529,257 (13.14%)"""
R1-159,kdist_opus_peak_pct,13.14%,share of itemsets at K=9,deterministic,quotes-paper,F1,74,"""peak K=9 = 3,529,257 (13.14%)"""
R1-160,kdist_opus_k1_count,"1,002",itemsets at K=1,deterministic,quotes-paper,F1,74,"""K=1=1,002; K=2=73,786; K=22=1 (8 proteins)"""
R1-161,kdist_opus_k2_count,"73,786",itemsets at K=2,deterministic,quotes-paper,F1,74,"""K=1=1,002; K=2=73,786; K=22=1 (8 proteins)"""
R1-162,kdist_opus_k22_count,1,itemsets at K=22,deterministic,quotes-paper,F1,74,"""K=22=1 (8 proteins)"""
R1-163,k22_support,8,proteins supporting K=22,deterministic,quotes-paper,F1,74,"""K=22=1 (8 proteins)"""
R1-164,meta_review_f1_kdist_rows_range,3..21,K rows verified,deterministic,quotes-paper,F1,74,"""all K=3..21 rows"""
R1-165,kdist_opus_pct_sum,100.0%,sum of K-distribution percentages,deterministic,asserts-own,F1,74,"""percentages recomputed and sum to 100.0%"""
R1-166,meta_review_f1_confirmed_k22_composition,2,K=22 composition checks,external-fact,asserts-own,F1,76,"""K=22 composition (2):"""
R1-167,k22_n_features,22,features (K=22 itemset),deterministic,quotes-paper,F1,76,"""22 features = 2 Pfam + 8 MF + 4 BP + 7 CC + 1 pLDDT"""
R1-168,k22_n_pfam,2,Pfam features in K=22,deterministic,quotes-paper,F1,76,"""22 features = 2 Pfam + 8 MF + 4 BP + 7 CC + 1 pLDDT"""
R1-169,k22_n_go_mf,8,GO:MF features in K=22,deterministic,quotes-paper,F1,76,"""22 features = 2 Pfam + 8 MF + 4 BP + 7 CC + 1 pLDDT"""
R1-170,k22_n_go_bp,4,GO:BP features in K=22,deterministic,quotes-paper,F1,76,"""22 features = 2 Pfam + 8 MF + 4 BP + 7 CC + 1 pLDDT"""
R1-171,k22_n_go_cc,7,GO:CC features in K=22,deterministic,quotes-paper,F1,76,"""22 features = 2 Pfam + 8 MF + 4 BP + 7 CC + 1 pLDDT"""
R1-172,k22_n_plddt,1,pLDDT feature in K=22,deterministic,quotes-paper,F1,76,"""22 features = 2 Pfam + 8 MF + 4 BP + 7 CC + 1 pLDDT"""
R1-173,meta_review_f1_confirmed_null_model,17,confirmed null-model claims,external-fact,asserts-own,F1,78,"""Null model (17):"""
R1-174,null_permutations,5,permutations,method-parameter,quotes-paper,F1,78,"""5 permutations, seed 42, 662 s total, min_count=769"""
R1-175,null_seed,42,seed,method-parameter,quotes-paper,F1,78,"""5 permutations, seed 42, 662 s total, min_count=769"""
R1-176,null_total_time_s,662,s (null model total),hardware-dependent,quotes-paper,F1,78,"""5 permutations, seed 42, 662 s total, min_count=769"""
R1-177,null_min_count,769,min_count (null model),method-parameter,quotes-paper,F1,78,"""5 permutations, seed 42, 662 s total, min_count=769"""
R1-178,null_k2_z,-987,Z at K=2,deterministic,quotes-paper,F1,78,"""Z at K=2 (-987), K=3 (-143), K=4 (+3,791), K=5 (+7,402), K=6 (+71,728)"""
R1-179,null_k3_z,-143,Z at K=3,deterministic,quotes-paper,F1,78,"""Z at K=2 (-987), K=3 (-143), K=4 (+3,791), K=5 (+7,402), K=6 (+71,728)"""
R1-180,null_k4_z,"+3,791",Z at K=4,deterministic,quotes-paper,F1,78,"""Z at K=2 (-987), K=3 (-143), K=4 (+3,791), K=5 (+7,402), K=6 (+71,728)"""
R1-181,null_k5_z,"+7,402",Z at K=5,deterministic,quotes-paper,F1,78,"""Z at K=2 (-987), K=3 (-143), K=4 (+3,791), K=5 (+7,402), K=6 (+71,728)"""
R1-182,null_k6_z,"+71,728",Z at K=6,deterministic,quotes-paper,F1,78,"""Z at K=2 (-987), K=3 (-143), K=4 (+3,791), K=5 (+7,402), K=6 (+71,728)"""
R1-183,null_peak_k,3,K (null-model peak),deterministic,quotes-paper,F1,78,"""null peaks K=3 (46.2%)"""
R1-184,null_peak_pct,46.2%,null share at K=3,deterministic,quotes-paper,F1,78,"""null peaks K=3 (46.2%)"""
R1-185,null_kmax,6,K (null max depth),deterministic,quotes-paper,F1,78,"""null max depth K=6 (mean 22, std 1.1)"""
